sample_idx,silent_us,silent_ms,frame_bytes
0,731,0.731,16384
1,836,0.836,16384
2,768,0.768,16384
3,432,0.432,16384
4,954,0.954,16384
5,397,0.397,15293
6,36307,36.307,1403
7,397434,397.434,16384
8,475,0.475,16384
9,445,0.445,16384
10,429,0.429,16384
11,424,0.424,16384
12,423,0.423,16384
13,425,0.425,16384
14,397,0.397,266
15,36497,36.497,46
16,389686,389.686,16384
17,453,0.453,16384
18,451,0.451,16384
19,443,0.443,16384
20,443,0.443,16384
21,431,0.431,16384
22,421,0.421,16384
23,394,0.394,266
24,36352,36.352,46
25,392514,392.514,16384
26,471,0.471,16384
27,455,0.455,16384
28,450,0.45,16384
29,438,0.438,16384
30,458,0.458,16384
31,423,0.423,16384
32,406,0.406,266
33,36288,36.288,46
34,393312,393.312,16384
35,464,0.464,16384
36,450,0.45,16384
37,451,0.451,16384
38,441,0.441,16384
39,447,0.447,16384
40,434,0.434,16384
41,406,0.406,266
42,36562,36.562,46
