sample_idx,silent_us,silent_ms,frame_bytes
0,1076,1.076,23
1,1037,1.037,23
2,1127,1.127,23
3,172,0.172,23
4,168,0.168,23
5,1798,1.798,23
6,891,0.891,23
7,178,0.178,23
8,968,0.968,23
9,168,0.168,23
10,801,0.801,23
11,275,0.275,23
12,168,0.168,23
13,164,0.164,23
14,940,0.94,23
15,320,0.32,23
16,300,0.3,23
17,558,0.558,23
18,1381,1.381,23
19,258,0.258,23
20,426,0.426,23
21,1509,1.509,23
22,325,0.325,23
23,400,0.4,23
24,219,0.219,23
25,228,0.228,23
26,408,0.408,23
27,212,0.212,23
28,225,0.225,23
29,358,0.358,23
30,159,0.159,23
31,163,0.163,23
32,271,0.271,23
33,148,0.148,23
34,139,0.139,23
35,134,0.134,23
36,133,0.133,23
37,133,0.133,23
38,134,0.134,23
39,136,0.136,23
40,132,0.132,23
41,133,0.133,23
42,133,0.133,23
43,132,0.132,23
44,127,0.127,23
45,129,0.129,23
46,132,0.132,23
47,136,0.136,23
48,132,0.132,23
49,130,0.13,23
50,132,0.132,23
51,132,0.132,23
52,129,0.129,23
53,132,0.132,23
54,136,0.136,23
55,127,0.127,23
56,131,0.131,23
57,131,0.131,23
58,133,0.133,23
59,131,0.131,23
60,134,0.134,23
61,134,0.134,23
62,133,0.133,23
63,133,0.133,23
64,128,0.128,23
65,133,0.133,23
66,131,0.131,23
67,129,0.129,23
68,127,0.127,23
69,137,0.137,23
70,131,0.131,23
71,129,0.129,23
72,148,0.148,23
73,134,0.134,23
74,133,0.133,23
75,133,0.133,23
76,137,0.137,23
77,132,0.132,23
78,133,0.133,23
79,140,0.14,23
80,137,0.137,23
81,133,0.133,23
82,131,0.131,23
83,135,0.135,23
84,131,0.131,23
85,141,0.141,23
86,225,0.225,23
87,237,0.237,23
88,265,0.265,23
89,229,0.229,23
90,217,0.217,23
91,198,0.198,23
92,196,0.196,23
93,207,0.207,23
94,194,0.194,23
95,193,0.193,23
96,197,0.197,23
97,185,0.185,23
98,219,0.219,23
99,214,0.214,23
100,273,0.273,23
101,216,0.216,23
102,191,0.191,23
103,137,0.137,23
104,151,0.151,23
105,134,0.134,23
106,137,0.137,23
107,142,0.142,23
108,136,0.136,23
109,141,0.141,23
110,136,0.136,23
111,145,0.145,23
112,128,0.128,23
113,129,0.129,23
114,132,0.132,23
115,132,0.132,23
116,134,0.134,23
117,132,0.132,23
118,132,0.132,23
119,129,0.129,23
120,131,0.131,23
121,132,0.132,23
122,132,0.132,23
123,132,0.132,23
124,136,0.136,23
125,132,0.132,23
126,133,0.133,23
127,131,0.131,23
128,133,0.133,23
129,146,0.146,23
130,132,0.132,23
131,146,0.146,23
132,133,0.133,23
133,132,0.132,23
134,131,0.131,23
135,127,0.127,23
136,132,0.132,23
137,132,0.132,23
138,135,0.135,23
139,162,0.162,23
140,178,0.178,23
141,184,0.184,23
142,183,0.183,23
143,184,0.184,23
144,191,0.191,23
145,183,0.183,23
146,189,0.189,23
147,192,0.192,23
148,184,0.184,23
149,190,0.19,23
150,191,0.191,23
151,188,0.188,23
152,200,0.2,23
153,216,0.216,23
154,210,0.21,23
155,205,0.205,23
156,203,0.203,23
157,209,0.209,23
158,212,0.212,23
159,209,0.209,23
160,211,0.211,23
161,210,0.21,23
162,202,0.202,23
163,220,0.22,23
164,206,0.206,23
165,209,0.209,23
166,206,0.206,23
167,201,0.201,23
168,203,0.203,23
169,213,0.213,23
170,205,0.205,23
171,202,0.202,23
172,217,0.217,23
173,218,0.218,23
174,224,0.224,23
175,218,0.218,23
176,213,0.213,23
177,219,0.219,23
178,244,0.244,23
179,243,0.243,23
180,248,0.248,23
181,231,0.231,23
182,269,0.269,23
183,262,0.262,23
184,234,0.234,23
185,242,0.242,23
186,241,0.241,23
187,255,0.255,23
188,233,0.233,23
189,243,0.243,23
190,241,0.241,23
191,221,0.221,23
192,207,0.207,23
193,252,0.252,23
194,219,0.219,23
195,253,0.253,23
196,231,0.231,23
197,219,0.219,23
198,240,0.24,23
199,234,0.234,23
200,228,0.228,23
201,223,0.223,23
202,228,0.228,23
203,214,0.214,23
204,147,0.147,23
205,150,0.15,23
206,141,0.141,23
207,143,0.143,23
208,144,0.144,23
209,137,0.137,23
210,144,0.144,23
211,139,0.139,23
212,137,0.137,23
213,137,0.137,23
214,137,0.137,23
215,141,0.141,23
216,138,0.138,23
217,133,0.133,23
218,138,0.138,23
219,136,0.136,23
220,136,0.136,23
221,133,0.133,23
222,207,0.207,23
223,135,0.135,23
224,136,0.136,23
225,136,0.136,23
226,135,0.135,23
227,135,0.135,23
228,136,0.136,23
229,135,0.135,23
230,164,0.164,23
231,135,0.135,23
232,143,0.143,23
233,134,0.134,23
234,136,0.136,23
235,130,0.13,23
236,140,0.14,23
237,142,0.142,23
238,150,0.15,23
239,132,0.132,23
240,131,0.131,23
241,131,0.131,23
242,133,0.133,23
243,136,0.136,23
244,132,0.132,23
245,132,0.132,23
246,132,0.132,23
247,131,0.131,23
248,132,0.132,23
249,130,0.13,23
250,137,0.137,23
251,131,0.131,23
252,132,0.132,23
253,132,0.132,23
254,132,0.132,23
255,132,0.132,23
256,127,0.127,23
257,142,0.142,23
258,132,0.132,23
259,129,0.129,23
260,151,0.151,23
261,132,0.132,23
262,162,0.162,23
263,130,0.13,23
264,154,0.154,23
265,134,0.134,23
266,133,0.133,23
267,147,0.147,23
268,135,0.135,23
269,132,0.132,23
270,133,0.133,23
271,133,0.133,23
272,130,0.13,23
273,132,0.132,23
274,132,0.132,23
275,130,0.13,23
276,131,0.131,23
277,132,0.132,23
278,132,0.132,23
279,136,0.136,23
280,130,0.13,23
281,132,0.132,23
282,131,0.131,23
283,130,0.13,23
284,129,0.129,23
285,129,0.129,23
286,136,0.136,23
287,149,0.149,23
288,131,0.131,23
289,132,0.132,23
290,127,0.127,23
291,133,0.133,23
292,131,0.131,23
293,127,0.127,23
294,137,0.137,23
295,130,0.13,23
296,133,0.133,23
297,129,0.129,23
298,132,0.132,23
299,130,0.13,23
300,131,0.131,23
301,137,0.137,23
302,131,0.131,23
303,131,0.131,23
304,132,0.132,23
305,131,0.131,23
306,130,0.13,23
307,129,0.129,23
308,136,0.136,23
309,133,0.133,23
310,130,0.13,23
311,132,0.132,23
312,131,0.131,23
313,132,0.132,23
314,132,0.132,23
315,134,0.134,23
316,139,0.139,23
317,131,0.131,23
318,131,0.131,23
319,131,0.131,23
320,132,0.132,23
321,130,0.13,23
322,132,0.132,23
323,134,0.134,23
324,132,0.132,23
325,130,0.13,23
326,130,0.13,23
327,132,0.132,23
328,133,0.133,23
329,131,0.131,23
330,131,0.131,23
331,132,0.132,23
332,131,0.131,23
333,131,0.131,23
334,132,0.132,23
335,132,0.132,23
336,129,0.129,23
337,130,0.13,23
338,131,0.131,23
339,129,0.129,23
340,127,0.127,23
341,132,0.132,23
342,131,0.131,23
343,129,0.129,23
344,134,0.134,23
345,135,0.135,23
346,133,0.133,23
347,152,0.152,23
348,180,0.18,23
349,134,0.134,23
350,133,0.133,23
351,132,0.132,23
352,136,0.136,23
353,131,0.131,23
354,130,0.13,23
355,132,0.132,23
356,131,0.131,23
357,132,0.132,23
358,132,0.132,23
359,136,0.136,23
360,132,0.132,23
361,129,0.129,23
362,132,0.132,23
363,130,0.13,23
364,133,0.133,23
365,131,0.131,23
366,131,0.131,23
367,137,0.137,23
368,131,0.131,23
369,129,0.129,23
370,132,0.132,23
371,132,0.132,23
372,131,0.131,23
373,126,0.126,23
374,135,0.135,23
375,132,0.132,23
376,132,0.132,23
377,130,0.13,23
378,135,0.135,23
379,131,0.131,23
380,132,0.132,23
381,135,0.135,23
382,133,0.133,23
383,130,0.13,23
384,132,0.132,23
385,129,0.129,23
386,132,0.132,23
387,129,0.129,23
388,132,0.132,23
389,135,0.135,23
390,130,0.13,23
391,132,0.132,23
392,130,0.13,23
393,132,0.132,23
394,131,0.131,23
395,129,0.129,23
396,136,0.136,23
397,131,0.131,23
398,132,0.132,23
399,127,0.127,23
400,130,0.13,23
401,130,0.13,23
402,132,0.132,23
403,131,0.131,23
404,137,0.137,23
405,132,0.132,23
406,132,0.132,23
407,131,0.131,23
408,172,0.172,23
409,228,0.228,23
410,170,0.17,23
411,137,0.137,23
412,136,0.136,23
413,133,0.133,23
414,134,0.134,23
415,133,0.133,23
416,132,0.132,23
417,137,0.137,23
418,131,0.131,23
419,132,0.132,23
420,132,0.132,23
421,132,0.132,23
422,133,0.133,23
423,132,0.132,23
424,135,0.135,23
425,131,0.131,23
426,132,0.132,23
427,132,0.132,23
428,131,0.131,23
429,166,0.166,23
430,134,0.134,23
431,134,0.134,23
432,134,0.134,23
433,131,0.131,23
434,131,0.131,23
435,132,0.132,23
436,132,0.132,23
437,130,0.13,23
438,129,0.129,23
439,131,0.131,23
440,132,0.132,23
441,132,0.132,23
442,131,0.131,23
443,130,0.13,23
444,131,0.131,23
445,129,0.129,23
446,136,0.136,23
447,143,0.143,23
448,136,0.136,23
449,133,0.133,23
450,131,0.131,23
451,131,0.131,23
452,132,0.132,23
453,137,0.137,23
454,131,0.131,23
455,131,0.131,23
456,132,0.132,23
457,132,0.132,23
458,132,0.132,23
459,131,0.131,23
460,131,0.131,23
461,135,0.135,23
462,126,0.126,23
463,131,0.131,23
464,132,0.132,23
465,130,0.13,23
466,132,0.132,23
467,131,0.131,23
468,137,0.137,23
469,131,0.131,23
470,133,0.133,23
